url,7/19/2021,7/20/2021,2021-07-21,2021-07-22,2021-07-23
https://www.opentable.com/r/sachi-nyc-new-york,6.0,7.0,3.0,4.0,10.0
https://www.opentable.com/r/sveta-new-york,19.0,16.0,26.0,20.0,15.0
https://www.opentable.com/r/sveta-new-york,19.0,16.0,26.0,20.0,15.0
https://www.opentable.com/r/flame-nyc-new-york,18.0,8.0,8.0,11.0,12.0
https://www.opentable.com/r/jeannies-nordstrom-new-york-city-new-york,0.0,0.0,,,
https://www.opentable.com/r/bistro-verde-nordstrom-new-york-city-new-york,3.0,0.0,,,
https://www.opentable.com/r/ninos-new-york,5.0,3.0,2.0,7.0,2.0
https://www.opentable.com/r/rabbit-house-omakase-and-sake-bar-new-york,1.0,1.0,1.0,6.0,
https://www.opentable.com/r/lezzet-mediterranean-turkish-restaurant-new-york,3.0,2.0,4.0,1.0,2.0
https://www.opentable.com/r/catch-steak-maritime-hotel-new-york,152.0,230.0,234.0,220.0,256.0
https://www.opentable.com/r/ampia-rooftop-and-gnoccheria-wall-st-new-york,49.0,61.0,56.0,,
https://www.opentable.com/r/ampia-rooftop-and-gnoccheria-wall-st-new-york,49.0,59.0,56.0,,
https://www.opentable.com/r/rh-rooftop-restaurant-new-york,385.0,371.0,,455.0,
https://www.opentable.com/r/tacovision-new-york,62.0,54.0,81.0,82.0,87.0
https://www.opentable.com/r/red-peony-new-york,12.0,6.0,8.0,11.0,7.0
https://www.opentable.com/r/il-piccolo-ristoro-new-york,9.0,13.0,7.0,15.0,11.0
https://www.opentable.com/r/worthwild-new-york,5.0,6.0,16.0,14.0,9.0
https://www.opentable.com/r/worthwild-new-york,5.0,6.0,16.0,14.0,10.0
https://www.opentable.com/r/sushi-suite-1001-new-york,7.0,5.0,8.0,3.0,
https://www.opentable.com/r/new-amsterdam-burger-and-bar-new-york,9.0,19.0,15.0,,
https://www.opentable.com/r/eds-lobster-bar-new-york,22.0,14.0,22.0,,11.0
https://www.opentable.com/r/westville-new-york,44.0,68.0,55.0,56.0,72.0
https://www.opentable.com/r/petite-boucherie-new-york,62.0,59.0,58.0,56.0,64.0
https://www.opentable.com/the-smith-lincoln-square,154.0,171.0,194.0,215.0,172.0
https://www.opentable.com/r/del-friscos-grille-nyc-new-york,60.0,79.0,83.0,79.0,85.0
https://www.opentable.com/nomo-kitchen,80.0,81.0,78.0,78.0,78.0
https://www.opentable.com/r/del-friscos-double-eagle-steak-house-new-york-city-new-york,148.0,175.0,190.0,168.0,198.0
https://www.opentable.com/max-brenner-union-square,91.0,98.0,103.0,96.0,110.0
https://www.opentable.com/r/sojourn-restaurant-new-york,15.0,9.0,17.0,18.0,19.0
https://www.opentable.com/r/sojourn-restaurant-new-york,15.0,9.0,17.0,18.0,19.0
https://www.opentable.com/r/charlie-palmer-steak-nyc-new-york-3,11.0,29.0,35.0,21.0,42.0
https://www.opentable.com/locanda-verde,58.0,77.0,,,
