url,earliest
https://www.opentable.com/carmines-91st-street-nyc,3/23/2008
https://www.opentable.com/r/oda-house-upper-east-side-new-york-2,6/9/2019
https://www.opentable.com/r/queensyard-new-york,10/30/2019
https://www.opentable.com/r/spanish-diner-at-mercado-little-spain-new-york,7/6/2019
https://www.opentable.com/r/the-warren-new-york,7/25/2017
https://www.opentable.com/r/marcellino-new-york,5/7/2019
https://www.opentable.com/r/bombay-bistro-new-york,4/12/2019
https://www.opentable.com/r/da-capo-new-york,3/30/2019
https://www.opentable.com/r/la-pizza-and-la-pasta-eataly-nyc-downtown-new-york,6/28/2018
https://www.opentable.com/r/yara-new-york,4/12/2019
https://www.opentable.com/r/le-moulin-a-cafe-new-york,4/25/2019
https://www.opentable.com/r/st-tropez-soho-new-york-2,2/24/2019
https://www.opentable.com/r/wagamama-murray-hill-new-york,9/23/2020
https://www.opentable.com/r/buenavista-restaurant-and-bar-new-york,9/25/2018
https://www.opentable.com/r/il-divo-new-york,2/11/2019
https://www.opentable.com/r/turkuaz-restaurant-new-york-2,2/13/2019
https://www.opentable.com/r/nittis-new-york,1/12/2019
https://www.opentable.com/r/quartino-bottega-organica-new-york,1/23/2019
https://www.opentable.com/r/seamores-brookfield-place-new-york,1/18/2019
https://www.opentable.com/r/aroma-trattoria-new-york,2/16/2019
https://www.opentable.com/r/valerie-new-york,1/11/2019
https://www.opentable.com/r/il-mulino-prime-gramercy-new-york,12/4/2018
https://www.opentable.com/r/izakaya-juraku-new-york,8/31/2018
https://www.opentable.com/r/hortus-nyc-new-york,11/23/2018
https://www.opentable.com/r/elea-new-york,11/10/2018
https://www.opentable.com/r/osteria-106-new-york-2,10/11/2018
https://www.opentable.com/r/the-wilson-new-york,10/26/2018
https://www.opentable.com/r/kahlo-nyc-new-york,10/14/2018
https://www.opentable.com/r/brooklyn-chop-house-new-york,10/1/2018
https://www.opentable.com/r/zia-maria-little-italy-new-york,10/13/2018
https://www.opentable.com/r/bluebird-london-restaurant-new-york,10/5/2018
https://www.opentable.com/r/castell-rooftop-lounge-new-york,4/13/2019
https://www.opentable.com/r/the-terrace-at-the-edition-and-outdoor-gardens-new-york,2/22/2019
https://www.opentable.com/r/sushi-ryusei-new-york,9/7/2018
https://www.opentable.com/r/sall-restaurant-and-lounge-new-york,8/25/2018
https://www.opentable.com/r/oak-tuscan-truffle-lounge-new-york,8/4/2018
https://www.opentable.com/r/bp-grille-new-york,
https://www.opentable.com/r/cardoncello-divino-new-york,7/27/2018
https://www.opentable.com/r/barnea-bistro-new-york,7/16/2018
https://www.opentable.com/r/angeletto-restaurant-new-york,7/12/2018
https://www.opentable.com/r/haswell-greens-new-york,6/29/2018
https://www.opentable.com/r/saar-indian-bistro-new-york,6/1/2018
https://www.opentable.com/r/bua-thai-ramen-and-robata-grill-new-york,7/6/2018
https://www.opentable.com/r/the-leroy-house-new-york,6/5/2018
https://www.opentable.com/r/scampi-new-york,6/2/2018
https://www.opentable.com/r/the-harrow-new-york,2/16/2019
https://www.opentable.com/r/javelina-ues-new-york,7/15/2018
https://www.opentable.com/r/gu-japanese-fusion-sushi-and-bar-new-york,6/6/2018
https://www.opentable.com/r/sabai-thai-new-york,4/4/2018
https://www.opentable.com/r/wagamama-nomad-new-york,3/31/2018
https://www.opentable.com/r/pj-clarkes-third-avenue-new-york,4/1/2018
https://www.opentable.com/r/fashion-bar-and-restaurant-new-york-1,3/5/2018
https://www.opentable.com/r/angelos-pizza-new-york,3/4/2018
https://www.opentable.com/r/la-goulue-new-york-2,3/4/2018
https://www.opentable.com/r/st-tropez-wine-bar-new-york,2/23/2019
https://www.opentable.com/r/boucherie-union-square-new-york,2/14/2018
https://www.opentable.com/r/imli-urban-indian-food-new-york,1/16/2018
https://www.opentable.com/r/the-meatball-shop-hells-kitchen-new-york,4/14/2019
https://www.opentable.com/r/la-sirene-uws-new-york,12/31/2017
https://www.opentable.com/r/tuscany-steak-house-new-york,1/10/2018
https://www.opentable.com/r/shaking-crab-upper-west-side-new-york,12/31/2017
https://www.opentable.com/r/siena-cafe-new-york,12/19/2017
https://www.opentable.com/r/baar-baar-new-york,12/5/2017
https://www.opentable.com/r/thai72-new-york,12/1/2017
https://www.opentable.com/r/butcher-and-banker-new-york,11/14/2017
https://www.opentable.com/r/serafina-105-new-york,11/10/2017
https://www.opentable.com/r/renaissance-harlem-new-york,11/3/2017
https://www.opentable.com/r/seamores-chelsea-new-york,4/24/2019
https://www.opentable.com/r/celon-bar-and-lounge-new-york,11/17/2017
https://www.opentable.com/r/wokuni-new-york,10/10/2017
https://www.opentable.com/r/il-carino-restaurant-new-york,9/9/2017
https://www.opentable.com/r/island-new-york,8/23/2017
https://www.opentable.com/r/serafina-tribeca-new-york,7/22/2017
https://www.opentable.com/r/langolo-new-york,8/5/2017
https://www.opentable.com/r/yama-ramen-and-sushi-new-york,6/24/2017
https://www.opentable.com/r/aroqa-new-york-4,6/9/2017
https://www.opentable.com/r/westville-wall-street-new-york,6/3/2017
https://www.opentable.com/r/serafina-osteria-new-york,3/27/2021
https://www.opentable.com/r/the-keg-room-new-york,6/1/2019
https://www.opentable.com/r/kokage-new-york-2,5/31/2017
https://www.opentable.com/r/mizu-flatiron-new-york,7/10/2017
https://www.opentable.com/r/the-whitby-bar-and-restaurant-new-york,3/25/2017
https://www.opentable.com/r/piccola-cucina-estiatorio-newyork,3/8/2017
https://www.opentable.com/r/l-adresse-new-york,1/26/2017
https://www.opentable.com/r/hudson-west-kitchen-and-craft-bar-formerly-ousia-new-york,1/25/2017
https://www.opentable.com/r/royal-35-steakhouse-new-york,1/14/2017
https://www.opentable.com/r/serafina-ludlow-new-york,1/29/2017
https://www.opentable.com/r/spice-symphony-31st-st-new-york,12/30/2016
https://www.opentable.com/r/zia-maria-ristorante-and-pizzeria-new-york,12/31/2016
https://www.opentable.com/r/deninos-greenwich-village-new-york,12/17/2016
https://www.opentable.com/r/boucherie-new-york,12/9/2016
https://www.opentable.com/r/misirizzi-new-york,12/6/2016
https://www.opentable.com/r/coarse-nyc-new-york-2,12/9/2016
https://www.opentable.com/r/pescatore-new-york,12/3/2016
https://www.opentable.com/r/allora-new-york,11/28/2016
https://www.opentable.com/r/divyas-kitchen-new-york-city,11/26/2016
https://www.opentable.com/r/benjamin-prime-new-york,11/24/2016
https://www.opentable.com/r/isabelles-osteria-new-york,11/14/2020
https://www.opentable.com/r/upstate-craft-beer-and-oyster-bar-new-york,12/31/2018
https://www.opentable.com/r/omakase-shiro-new-york,4/30/2021
https://www.opentable.com/r/buddha-bodai-kosher-vegetarian-restaurant-new-york,8/24/2017
https://www.opentable.com/r/sahib-new-york,12/13/2016
https://www.opentable.com/r/empire-rooftop-at-empire-hotel-new-york,10/18/2016
https://www.opentable.com/r/bazar-tapas-bar-and-restaurant-new-york,8/21/2017
https://www.opentable.com/bistango-at-the-kimberly-hotel,10/18/2014
https://www.opentable.com/r/industry-kitchen-new-york,5/29/2015
https://www.opentable.com/r/russian-samovar-and-tolstoys-lounge-new-york,10/30/2016
https://www.opentable.com/r/cut-by-wolfgang-puck-at-fs-downtown-new-york,10/1/2016
https://www.opentable.com/r/soju-haus-new-york,9/22/2016
https://www.opentable.com/r/harolds-meat-and-three-new-york,9/24/2016
https://www.opentable.com/r/baby-brasa-new-york,9/6/2017
https://www.opentable.com/r/dutch-freds-new-york,8/2/2016
https://www.opentable.com/r/blue-dog-cookhouse-and-bar-new-york,8/6/2016
https://www.opentable.com/r/haru-sushi-amsterdam-ave-new-york,7/7/2016
https://www.opentable.com/r/momokawa-new-york,6/22/2016
https://www.opentable.com/r/bowery-road-new-york,5/5/2017
https://www.opentable.com/r/schilling-new-york,5/24/2016
https://www.opentable.com/r/caliente-cab-mexican-cafe-new-york,5/4/2018
https://www.opentable.com/r/sushi-ginza-onodera-new-york,7/27/2016
https://www.opentable.com/r/piacere-new-york,5/27/2017
https://www.opentable.com/r/luzzos-la-pizza-napoletana-new-york,7/18/2019
https://www.opentable.com/r/haymaker-bar-and-kitchen-new-york,6/3/2016
https://www.opentable.com/r/westville-east-village-new-york,2/14/2019
https://www.opentable.com/r/the-meatball-shop-ues-new-york,9/27/2018
https://www.opentable.com/r/seamores-nolita-new-york,2/12/2019
https://www.opentable.com/r/casa-bella-restaurant-new-york,12/3/2016
https://www.opentable.com/r/don-giovannis-chelsea,12/9/2018
https://www.opentable.com/r/tortaria-new-york,7/25/2020
https://www.opentable.com/r/turkish-cuisine-new-york,4/19/2017
https://www.opentable.com/r/jadis-new-york,1/16/2017
https://www.opentable.com/r/campagnola-new-york,7/13/2016
https://www.opentable.com/r/miramar-new-york,7/25/2018
https://www.opentable.com/r/san-matteo-pizzeria-e-cucina-new-york,2/14/2017
https://www.opentable.com/r/emporium-brasil-restaurant-and-bar-new-york,8/6/2016
https://www.opentable.com/r/pietros-new-york,1/18/2018
https://www.opentable.com/r/piccolo-angolo-new-york,5/17/2019
https://www.opentable.com/r/tre-sorelle-new-york,7/9/2016
https://www.opentable.com/r/la-caverna-new-york,9/6/2020
https://www.opentable.com/r/bocaphe-new-york-city,6/1/2016
https://www.opentable.com/r/the-smith-nomad-new-york,4/1/2016
https://www.opentable.com/toscana-49,3/16/2016
https://www.opentable.com/sushi-dojo,4/16/2016
https://www.opentable.com/paesano-of-mulberry-street,3/21/2016
https://www.opentable.com/r/tarallucci-e-vino-east-village-new-york1,5/20/2016
https://www.opentable.com/r/brooklyn-diner-new-york,3/6/2016
https://www.opentable.com/san-carlo-osteria-piemonte,3/5/2016
https://www.opentable.com/under-the-bridge,3/5/2016
https://www.opentable.com/maxwells-central-park,3/17/2016
https://www.opentable.com/r/gnoccheria-east-village,3/10/2016
https://www.opentable.com/indian-accent,2/29/2016
https://www.opentable.com/r/double-zero-new-york,2/12/2016
https://www.opentable.com/empire-steak-house-east,2/5/2016
https://www.opentable.com/elmo,1/14/2016
https://www.opentable.com/r/sushi-seki-times-square-new-york,1/29/2016
https://www.opentable.com/r/high-street-on-hudson-new-york,1/30/2016
https://www.opentable.com/jue-lan-club,12/24/2015
https://www.opentable.com/row-house,12/7/2015
https://www.opentable.com/nare-sushi,12/16/2015
https://www.opentable.com/r/blue-seafood-bar-and-restaurant-new-york,12/3/2015
https://www.opentable.com/r/5-napkin-burger-upper-east-side-new-york,11/6/2015
https://www.opentable.com/hudson-hound,11/8/2015
https://www.opentable.com/chazz-palminteri-ristorante-italiano,10/24/2015
https://www.opentable.com/wollenskys-grill-new-york,10/18/2015
https://www.opentable.com/dos-caminos-times-square,9/12/2015
https://www.opentable.com/r/lamico-new-york,9/12/2015
https://www.opentable.com/numero-28-pizzeria-west-village,10/19/2015
https://www.opentable.com/hard-rock-cafe-times-square,7/28/2015
https://www.opentable.com/danji,7/21/2015
https://www.opentable.com/yakiniku-futago,8/8/2015
https://www.opentable.com/r/the-ribbon-nyc,6/28/2015
https://www.opentable.com/r/delice-and-sarrasin-new-york,6/28/2015
https://www.opentable.com/r/bistrot-leo-new-york,4/13/2018
https://www.opentable.com/yakitori-tori-shin-west,6/27/2015
https://www.opentable.com/korali,5/16/2015
https://www.opentable.com/the-grange,3/24/2015
https://www.opentable.com/da-nico-ristorante-manhattan-location,3/30/2015
https://www.opentable.com/r/javelina-union-square-new-york,3/9/2015
https://www.opentable.com/zuma-japanese-restaurant-ny,2/17/2015
https://www.opentable.com/r/ainsworth-midtown-new-york,3/4/2015
https://www.opentable.com/bar-primi,1/17/2015
https://www.opentable.com/r/hunt-and-fish-club-nyc-new-york,1/9/2015
https://www.opentable.com/bocado-cafe,2/16/2015
https://www.opentable.com/blue-ribbon-brasserie,1/2/2015
https://www.opentable.com/adalya,12/26/2014
https://www.opentable.com/da-claudio-ristorante,12/22/2014
https://www.opentable.com/porteno-restaurant,12/6/2014
https://www.opentable.com/r/il-patio-di-eataly-new-york1,2/14/2015
https://www.opentable.com/r/mastros-steakhouse-new-york-city-new-york,11/12/2014
https://www.opentable.com/bowery-meat-company,11/7/2014
https://www.opentable.com/the-little-beet-table,11/7/2014
https://www.opentable.com/limani-nyc,11/4/2014
https://www.opentable.com/wild-west-village,1/6/2015
https://www.opentable.com/old-tbilisi,11/8/2014
https://www.opentable.com/r/finestra-new-york,10/8/2014
https://www.opentable.com/r/gran-morsi-new-york,10/10/2014
https://www.opentable.com/bistro-les-amis,10/11/2014
https://www.opentable.com/r/anejo-tribeca-new-york,8/28/2014
https://www.opentable.com/r/212-steakhouse-new-york,8/15/2014
https://www.opentable.com/district-tap-house,8/19/2014
https://www.opentable.com/r/obica-mozzarella-bar-pizza-e-cucina-new-york,7/25/2014
https://www.opentable.com/haru-sushi-w-43rd,6/18/2014
https://www.opentable.com/r/il-mulino-prime-soho,6/26/2014
