name,url,is_member,promoted,price_tier,review_count,overall,food,service,ambience,value,noise,pct_recommended,neighborhood,cuisines,dining_style,dress_code,chef,tags,primary_cuisine,sanitizing,distancing,ppe,screening,newly_added,precautions,any_precautions,earliest,days,reviews_per_day
Andrews Coffee Shop,https://www.opentable.com/r/andrews-coffee-shop-new-york,1,False,1,6,4.3,4.1,4.7,4.1,4.3,Moderate,100.0,Garment District / Flower District,"American, Comfort Food, Burgers",Casual Dining,Casual Dress,,"Beer, Cafe, Delivery, Gender Neutral Restroom, Gluten-free Menu, Late Night, Non-Smoking, Outdoor dining, Patio/Outdoor Dining, Takeout, Weekend Brunch, Wheelchair Access, Wine",American,1,1,1,1,True,4,True,5/22/2021,64.0,0.09375
La Pulperia 44 Hell's Kitchen,https://www.opentable.com/r/la-pulperia-44-hells-kitchen-new-york,1,False,1,5,4.7,4.7,4.6,4.6,4.4,Moderate,100.0,Hell's Kitchen,"Latin / Spanish, Argentinean, South American",Casual Dining,Casual Dress,,"Bar/Lounge, Beer, Chef's Table, Cocktails, Corkage Fee, Counter Seating, Delivery, Full Bar, Happy Hour, Non-Smoking, Outdoor dining, Patio/Outdoor Dining, Takeout, Weekend Brunch, Wheelchair Access, Wine",Latin / Spanish,0,0,0,0,True,0,False,5/8/2021,78.0,0.0641025641025641
Evergreen on 38,https://www.opentable.com/r/evergreen-on-38-new-york,1,False,1,19,4.1,4.2,4.0,3.8,4.0,Moderate,84.0,Garment District / Flower District,"Chinese, Chinese (Shanghai), Dim Sum",Casual Dining,Casual Dress,,"Banquet, Bar/Lounge, Beer, Cocktails, Corkage Fee, Full Bar, Gluten-free Menu, Happy Hour, Private Room, Wheelchair Access, Wine",Chinese,0,0,0,0,True,0,False,3/15/2019,863.0,0.0220162224797219
Puttanesca,https://www.opentable.com/r/puttanesca-new-york,1,False,1,7,4.8,4.7,4.9,4.3,4.3,Moderate,100.0,Chelsea,Italian,Casual Dining,Business Casual,,"Cocktails, Delivery, Full Bar, Happy Hour, Non-Smoking, Takeout, Wheelchair Access, Wine",Italian,1,1,1,1,True,4,True,5/9/2021,77.0,0.09090909090909091
The Lobby at Ace Hotel New York,https://www.opentable.com/r/the-lobby-at-ace-hotel-new-york,1,False,1,0,,,,,,,,NoMad,Cocktail Bar,Casual Dining,Business Casual,,"Bar/Lounge, Beer, Cocktails, Full Bar, Wine",Cocktail Bar,1,1,1,1,True,4,True,5/15/2021,71.0,0.0
Primal Cut Grille,https://www.opentable.com/r/primal-cut-grille-new-york,1,False,2,0,,,,,,,,Garment District / Flower District,"Steakhouse, Bar / Lounge / Bottle Service",Elegant Dining,Business Casual,,"Bar/Lounge, Beer, Cocktails, Entertainment, Full Bar, Happy Hour, Late Night, Non-Smoking, Private Room, View, Wheelchair Access, Wine",Steakhouse,1,0,1,1,True,3,True,6/17/2021,38.0,0.0
Momoya,https://www.opentable.com/r/momoya-new-york-2,1,False,2,30,4.7,4.7,4.4,4.3,4.2,Moderate,95.0,Upper West Side,"Japanese, Sushi",Casual Elegant,Smart Casual,Lukai Wataru,"Bar/Lounge, Beer, Cocktails, Counter Seating, Delivery, Full Bar, Non-Smoking, Outdoor dining, Takeout, Wheelchair Access, Wine",Japanese,1,1,1,1,True,4,True,5/13/2021,73.0,0.410958904109589
L’Adresse NoMad,https://www.opentable.com/r/ladresse-nomad-new-york,1,False,2,0,,,,,,,,NoMad,"American, European",Casual Elegant,Casual Dress,,"Bar/Lounge, Beer, Cocktails, Full Bar, Gender Neutral Restroom, Private Room, Weekend Brunch, Wheelchair Access, Wine",American,1,0,0,0,True,1,True,,,0.0
42nd street Diner & Pizza,https://www.opentable.com/r/42nd-street-diner-and-pizza-new-york,1,False,1,0,,,,,,,,Hell's Kitchen,"Pizzeria, Greek, American",Casual Dining,Casual Dress,,"Beer, Counter Seating, Gluten-free Menu, Takeout, Wheelchair Access, Wine",Pizzeria,0,0,0,0,True,0,False,6/23/2021,32.0,0.0
Coffee + Cocktails,https://www.opentable.com/r/coffee-and-cocktails-new-york,1,False,1,0,,,,,,,,Greenwich Village,"CafÃ©, Cocktail Bar",Casual Elegant,Smart Casual,,"Beer, Cocktails, Full Bar, Gender Neutral Restroom, Wheelchair Access, Wine",CafÃ©,1,0,1,0,True,2,True,,,0.0
