name,url,is_member,promoted,price_tier,review_count,overall,food,service,ambience,value,noise,pct_recommended,neighborhood,cuisines,dining_style,dress_code,chef,tags,primary_cuisine,sanitizing,distancing,ppe,screening
Oliviero Cafe restaurant,https://www.opentable.com/r/oliviero-cafe-new-york?corrid=0fecae36-5848-496c-bdae-20a530391917&avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ&p=1&sd=2021-07-20T20%3A00%3A00,0,,,,,,,,,,,,,,,,,,,,,
Peter Mcmanus Cafe restaurant,https://www.opentable.com/r/peter-mcmanus-cafe-new-york?corrid=0fecae36-5848-496c-bdae-20a530391917&avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ&p=1&sd=2021-07-20T20%3A00%3A00,0,,,,,,,,,,,,,,,,,,,,,
SoHo Park - Downtown restaurant,https://www.opentable.com/r/soho-park-new-york?corrid=0fecae36-5848-496c-bdae-20a530391917&avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ&p=1&sd=2021-07-20T20%3A00%3A00,1,0,$30 and under,337 Reviews,4.7,4.7,4.6,4.7,4.7,Quiet,97,SoHo,"American, Burgers, Beer Garden",Casual Dining,Casual Dress,,"Bar/Lounge, Beer, Beer Garden, Cocktails, Delivery, Full Bar, Gender Neutral Restroom, Happy Hour, Late Night, Non-Smoking, Outdoor dining, Patio/Outdoor Dining, Takeout, Weekend Brunch, Wheelchair Access, Wine",American,,,,
Francois Payards Bakery restaurant,https://www.opentable.com/r/francois-payards-bakery-new-york?corrid=0fecae36-5848-496c-bdae-20a530391917&avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ&p=1&sd=2021-07-20T20%3A00%3A00,0,,,,,,,,,,,,,,,,,,,,,
Midtown Food & Beverage restaurant,https://www.opentable.com/r/midtown-food-and-beverage-new-york?corrid=0fecae36-5848-496c-bdae-20a530391917&avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ&p=1&sd=2021-07-20T20%3A00%3A00,0,,,,,,,,,,,,,,,,,,,,,
Jimbos Hamburger restaurant,https://www.opentable.com/r/jimbos-hamburger-new-york?corrid=0fecae36-5848-496c-bdae-20a530391917&avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ&p=1&sd=2021-07-20T20%3A00%3A00,0,,,,,,,,,,,,,,,,,,,,,
Sugar Cafe restaurant,https://www.opentable.com/r/sugar-cafe-new-york?corrid=0fecae36-5848-496c-bdae-20a530391917&avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ&p=1&sd=2021-07-20T20%3A00%3A00,0,,,,,,,,,,,,,,,,,,,,,
Jacob Resturant restaurant,https://www.opentable.com/r/jacob-resturant-new-york?corrid=0fecae36-5848-496c-bdae-20a530391917&avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ&p=1&sd=2021-07-20T20%3A00%3A00,0,,,,,,,,,,,,,,,,,,,,,
Noodle Village Corp restaurant,https://www.opentable.com/r/noodle-village-corp-new-york?corrid=0fecae36-5848-496c-bdae-20a530391917&avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ&p=1&sd=2021-07-20T20%3A00%3A00,0,,,,,,,,,,,,,,,,,,,,,
Wara Wara Japanese Restaurant restaurant,https://www.opentable.com/r/wara-wara-japanese-restaurant-new-york?corrid=0fecae36-5848-496c-bdae-20a530391917&avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ&p=1&sd=2021-07-20T20%3A00%3A00,0,,,,,,,,,,,,,,,,,,,,,
