url,2021-07-22
https://www.opentable.com/r/la-pizza-and-la-pasta-eataly-nyc-flatiron-new-york?corrid=9375ad28-4d3d-4449-a2d4-cdfa56f650ae&avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ&p=1&sd=2021-07-23T22%3A00%3A00,28
https://www.opentable.com/r/il-patio-di-eataly-new-york1?corrid=9375ad28-4d3d-4449-a2d4-cdfa56f650ae&avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ&p=1&sd=2021-07-23T22%3A00%3A00,55
https://www.opentable.com/jue-lan-club?corrid=9375ad28-4d3d-4449-a2d4-cdfa56f650ae&avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ&p=1&sd=2021-07-23T22%3A00%3A00,148
https://www.opentable.com/r/becco-new-york?corrid=9375ad28-4d3d-4449-a2d4-cdfa56f650ae&avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ&p=1&sd=2021-07-23T22%3A00%3A00,83
https://www.opentable.com/gallaghers-steakhouse-manhattan?corrid=9375ad28-4d3d-4449-a2d4-cdfa56f650ae&avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ&p=1&sd=2021-07-23T22%3A00%3A00,116
https://www.opentable.com/catch-new-york?corrid=9375ad28-4d3d-4449-a2d4-cdfa56f650ae&avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ&p=1&sd=2021-07-23T22%3A00%3A00,354
https://www.opentable.com/r/catch-steak-maritime-hotel-new-york?corrid=9375ad28-4d3d-4449-a2d4-cdfa56f650ae&avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ&p=1&sd=2021-07-23T22%3A00%3A00,220
https://www.opentable.com/r/wolfgangs-steakhouse-broadway-37th-st-new-york?corrid=9375ad28-4d3d-4449-a2d4-cdfa56f650ae&avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ&p=1&sd=2021-07-23T22%3A00%3A00,27
https://www.opentable.com/r/rosa-mexicano-union-square-new-york?corrid=9375ad28-4d3d-4449-a2d4-cdfa56f650ae&avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ&p=1&sd=2021-07-23T22%3A00%3A00,92
https://www.opentable.com/r/sushi-suite-1001-new-york?corrid=9375ad28-4d3d-4449-a2d4-cdfa56f650ae&avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ&p=1&sd=2021-07-23T22%3A00%3A00,3
https://www.opentable.com/r/isabelles-osteria-new-york?corrid=9375ad28-4d3d-4449-a2d4-cdfa56f650ae&avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ&p=1&sd=2021-07-23T22%3A00%3A00,77
https://www.opentable.com/r/rh-rooftop-restaurant-new-york?corrid=9375ad28-4d3d-4449-a2d4-cdfa56f650ae&avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ&p=1&sd=2021-07-23T22%3A00%3A00,455
https://www.opentable.com/rossinis-restaurant?corrid=9375ad28-4d3d-4449-a2d4-cdfa56f650ae&avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ&p=1&sd=2021-07-23T22%3A00%3A00,20
