url,2021-07-23
https://www.opentable.com/r/soco-brooklyn?corrid=d4c4a148-3fdb-4c1d-9f41-6376dde20d5f&avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ&p=1&sd=2021-07-24T22%3A00%3A00,75
https://www.opentable.com/r/fragole-brooklyn?corrid=d4c4a148-3fdb-4c1d-9f41-6376dde20d5f&avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ&p=1&sd=2021-07-24T22%3A00%3A00,13
https://www.opentable.com/lantagoniste?corrid=d4c4a148-3fdb-4c1d-9f41-6376dde20d5f&avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ&p=1&sd=2021-07-24T22%3A00%3A00,15
https://www.opentable.com/marco-polo-ristorante?corrid=d4c4a148-3fdb-4c1d-9f41-6376dde20d5f&avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ&p=1&sd=2021-07-24T22%3A00%3A00,4
https://www.opentable.com/la-nonna-ristorante-and-bar?corrid=d4c4a148-3fdb-4c1d-9f41-6376dde20d5f&avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ&p=1&sd=2021-07-24T22%3A00%3A00,31
https://www.opentable.com/r/ammazzacaffe-brooklyn?corrid=d4c4a148-3fdb-4c1d-9f41-6376dde20d5f&avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ&p=1&sd=2021-07-24T22%3A00%3A00,19
https://www.opentable.com/r/luzzos-bk-brooklyn?corrid=d4c4a148-3fdb-4c1d-9f41-6376dde20d5f&avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ&p=1&sd=2021-07-24T22%3A00%3A00,4
https://www.opentable.com/r/brooklyn-winery-brooklyn?corrid=d4c4a148-3fdb-4c1d-9f41-6376dde20d5f&avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ&p=1&sd=2021-07-24T22%3A00%3A00,15
https://www.opentable.com/r/indian-table-brooklyn?corrid=d4c4a148-3fdb-4c1d-9f41-6376dde20d5f&avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ&p=1&sd=2021-07-24T22%3A00%3A00,5
https://www.opentable.com/r/cafe-le-mistral-brooklyn?corrid=d4c4a148-3fdb-4c1d-9f41-6376dde20d5f&avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ&p=1&sd=2021-07-24T22%3A00%3A00,3
