url,name,2021-07-20
https://www.opentable.com/r/zamaan-bay-ridge-brooklyn?corrid=6a078fa0-8484-4c36-aea6-6011812091a3&avt=eyJ2IjoyLCJtIjoxLCJwIjoxLCJzIjowLCJuIjowfQ&p=1&sd=2021-07-20T22%3A30%3A00,Zamaan - Bay Ridge restaurant,6
https://www.opentable.com/r/empanada-loca-brooklyn?corrid=6a078fa0-8484-4c36-aea6-6011812091a3&avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjoxLCJuIjowfQ&p=1&sd=2021-07-20T22%3A30%3A00,Newly added Empanada Loca restaurant,0
https://www.opentable.com/r/ecb-ridgewood?corrid=6a078fa0-8484-4c36-aea6-6011812091a3&avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjoxLCJuIjowfQ&p=1&sd=2021-07-20T22%3A30%3A00,Newly added ECB restaurant,0
https://www.opentable.com/r/that-bar-brooklyn?corrid=6a078fa0-8484-4c36-aea6-6011812091a3&avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjoxLCJuIjowfQ&p=1&sd=2021-07-20T22%3A30%3A00,Newly added That Bar restaurant,0
https://www.opentable.com/r/pulia-restaurant-brooklyn?corrid=6a078fa0-8484-4c36-aea6-6011812091a3&avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjoxLCJuIjowfQ&p=1&sd=2021-07-20T22%3A30%3A00,Pulia Restaurant restaurant,0
https://www.opentable.com/r/polygon-bk-latin-pizza-and-latin-cuisine-brooklyn?corrid=6a078fa0-8484-4c36-aea6-6011812091a3&avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjoxLCJuIjowfQ&p=1&sd=2021-07-20T22%3A30%3A00,Polygon BK (Latin Pizza and Latin Cuisine) restaurant,6
https://www.opentable.com/r/elite-williamsburg-brooklyn?corrid=6a078fa0-8484-4c36-aea6-6011812091a3&avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjoxLCJuIjowfQ&p=1&sd=2021-07-20T22%3A30%3A00,Elite Williamsburg restaurant,141
https://www.opentable.com/r/pizza-secret-brooklyn?corrid=6a078fa0-8484-4c36-aea6-6011812091a3&avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjoxLCJuIjowfQ&p=1&sd=2021-07-20T22%3A30%3A00,Pizza Secret restaurant,2
https://www.opentable.com/r/buffalo-wild-wings-atlantic-terminal-brooklyn?corrid=6a078fa0-8484-4c36-aea6-6011812091a3&avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjoxLCJuIjowfQ&p=1&sd=2021-07-20T22%3A30%3A00,Buffalo Wild Wings - Atlantic Terminal restaurant,9
https://www.opentable.com/r/doc-wine-bar-brooklyn?corrid=6a078fa0-8484-4c36-aea6-6011812091a3&avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjoxLCJuIjowfQ&p=1&sd=2021-07-20T22%3A30%3A00,D.O.C. Wine Bar restaurant,12
https://www.opentable.com/r/luzzos-bk-brooklyn?corrid=6a078fa0-8484-4c36-aea6-6011812091a3&avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjoxLCJuIjowfQ&p=1&sd=2021-07-20T22%3A30%3A00,Luzzo's BK restaurant,5
https://www.opentable.com/r/il-porto-ristorante-brooklyn?corrid=6a078fa0-8484-4c36-aea6-6011812091a3&avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjoxLCJuIjowfQ&p=1&sd=2021-07-20T22%3A30%3A00,Il Porto Ristorante restaurant,2
https://www.opentable.com/mexico-2000-restaurant?corrid=6a078fa0-8484-4c36-aea6-6011812091a3&avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjoxLCJuIjowfQ&p=1&sd=2021-07-20T22%3A30%3A00,Mexico 2000 Restaurant restaurant,2
https://www.opentable.com/motorino?corrid=6a078fa0-8484-4c36-aea6-6011812091a3&avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjoxLCJuIjowfQ&p=1&sd=2021-07-20T22%3A30%3A00,Motorino restaurant,2
https://www.opentable.com/r/mera-restaurant-brooklyn?corrid=6a078fa0-8484-4c36-aea6-6011812091a3&avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ&p=1&sd=2021-07-20T22%3A30%3A00,Newly added Mera Restaurant restaurant,5
https://www.opentable.com/r/republic-bar-and-lounge-brooklyn?corrid=6a078fa0-8484-4c36-aea6-6011812091a3&avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ&p=1&sd=2021-07-20T22%3A30%3A00,Newly added Republic Bar and Lounge restaurant,0
https://www.opentable.com/r/parklife-brooklyn?corrid=6a078fa0-8484-4c36-aea6-6011812091a3&avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ&p=1&sd=2021-07-20T22%3A30%3A00,Newly added Parklife restaurant,6
https://www.opentable.com/r/the-simpson-restaurant-and-bar-brooklyn?corrid=6a078fa0-8484-4c36-aea6-6011812091a3&avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ&p=1&sd=2021-07-20T22%3A30%3A00,Newly added The Simpson Restaurant & Bar restaurant,18
https://www.opentable.com/r/mika-brooklyn?corrid=6a078fa0-8484-4c36-aea6-6011812091a3&avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ&p=1&sd=2021-07-20T22%3A30%3A00,Newly added MIKA restaurant,1
https://www.opentable.com/r/palomas-bk-brooklyn?corrid=6a078fa0-8484-4c36-aea6-6011812091a3&avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ&p=1&sd=2021-07-20T22%3A30%3A00,Newly added Palomas BK restaurant,6
https://www.opentable.com/r/van-brunt-stillhouse-brooklyn?corrid=6a078fa0-8484-4c36-aea6-6011812091a3&avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ&p=1&sd=2021-07-20T22%3A30%3A00,Newly added Van Brunt Stillhouse restaurant,0
https://www.opentable.com/r/la-tombola-brooklyn?corrid=6a078fa0-8484-4c36-aea6-6011812091a3&avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ&p=1&sd=2021-07-20T22%3A30%3A00,Newly added La Tombola restaurant,8
https://www.opentable.com/r/triangle-grill-brooklyn?corrid=6a078fa0-8484-4c36-aea6-6011812091a3&avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ&p=1&sd=2021-07-20T22%3A30%3A00,Newly added Triangle Grill restaurant,0
https://www.opentable.com/r/the-rusty-face-brooklyn?corrid=6a078fa0-8484-4c36-aea6-6011812091a3&avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ&p=1&sd=2021-07-20T22%3A30%3A00,Newly added The Rusty Face restaurant,7
https://www.opentable.com/r/tinys-cantina-brooklyn?corrid=6a078fa0-8484-4c36-aea6-6011812091a3&avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ&p=1&sd=2021-07-20T22%3A30%3A00,Newly added Tiny's Cantina restaurant,3
https://www.opentable.com/r/the-grotto-authentic-caribbean-cuisine-brooklyn?corrid=6a078fa0-8484-4c36-aea6-6011812091a3&avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ&p=1&sd=2021-07-20T22%3A30%3A00,Newly added The Grotto Authentic Caribbean Cuisine restaurant,0
https://www.opentable.com/r/champs-diner-brooklyn?corrid=6a078fa0-8484-4c36-aea6-6011812091a3&avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ&p=1&sd=2021-07-20T22%3A30%3A00,Newly added Champs Diner restaurant,27
https://www.opentable.com/r/ponte-vecchio-brooklyn?corrid=6a078fa0-8484-4c36-aea6-6011812091a3&avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ&p=1&sd=2021-07-20T22%3A30%3A00,Newly added Ponte Vecchio restaurant,5
https://www.opentable.com/r/atithi-indian-cuisine-brooklyn?corrid=6a078fa0-8484-4c36-aea6-6011812091a3&avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ&p=1&sd=2021-07-20T22%3A30%3A00,Newly added Atithi Indian cuisine restaurant,3
https://www.opentable.com/r/patrick-steakhouse-brooklyn?corrid=6a078fa0-8484-4c36-aea6-6011812091a3&avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ&p=1&sd=2021-07-20T22%3A30%3A00,Newly added Patrick Steakhouse restaurant,0
https://www.opentable.com/r/belli-osteria-brooklyn?corrid=6a078fa0-8484-4c36-aea6-6011812091a3&avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ&p=1&sd=2021-07-20T22%3A30%3A00,Belli Osteria - Brooklyn restaurant,2
https://www.opentable.com/r/piccoli-trattoria-brooklyn?corrid=6a078fa0-8484-4c36-aea6-6011812091a3&avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ&p=1&sd=2021-07-20T22%3A30%3A00,Piccoli Trattoria restaurant,15
https://www.opentable.com/r/bakar-brooklyn-2?corrid=6a078fa0-8484-4c36-aea6-6011812091a3&avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ&p=1&sd=2021-07-20T22%3A30%3A00,BAKAR restaurant,1
https://www.opentable.com/r/savannah-cafe-brooklyn?corrid=6a078fa0-8484-4c36-aea6-6011812091a3&avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ&p=1&sd=2021-07-20T22%3A30%3A00,SAVANNAH CAFE restaurant,13
https://www.opentable.com/r/chinese-grill-master-brooklyn-brooklyn?corrid=6a078fa0-8484-4c36-aea6-6011812091a3&avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ&p=1&sd=2021-07-20T22%3A30%3A00,Chinese Grill Master Brooklyn restaurant,0
https://www.opentable.com/r/revolucion-taco-stuyvesant-heights-brooklyn?corrid=6a078fa0-8484-4c36-aea6-6011812091a3&avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ&p=1&sd=2021-07-20T22%3A30%3A00,Revolucion Taco Stuyvesant Heights restaurant,0
https://www.opentable.com/r/revolucion-taco-bed-stuy-brooklyn?corrid=6a078fa0-8484-4c36-aea6-6011812091a3&avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ&p=1&sd=2021-07-20T22%3A30%3A00,Revolucion Taco Bed Stuy restaurant,0
https://www.opentable.com/r/revolucion-taco-boerum-hill-brooklyn?corrid=6a078fa0-8484-4c36-aea6-6011812091a3&avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ&p=1&sd=2021-07-20T22%3A30%3A00,Revolucion Taco Boerum Hill restaurant,0
https://www.opentable.com/r/revolucion-taco-williamsburg-brooklyn?corrid=6a078fa0-8484-4c36-aea6-6011812091a3&avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ&p=1&sd=2021-07-20T22%3A30%3A00,Revolucion Taco Williamsburg restaurant,0
https://www.opentable.com/shelter-pizza?corrid=6a078fa0-8484-4c36-aea6-6011812091a3&avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ&p=1&sd=2021-07-20T22%3A30%3A00,Shelter Pizza restaurant,4
https://www.opentable.com/r/revolucion-taco-park-slope-brooklyn?corrid=6a078fa0-8484-4c36-aea6-6011812091a3&avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ&p=1&sd=2021-07-20T22%3A30%3A00,Revolucion Taco Park Slope restaurant,0
https://www.opentable.com/r/charm-bar-restaurant-brooklyn?corrid=6a078fa0-8484-4c36-aea6-6011812091a3&avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ&p=1&sd=2021-07-20T22%3A30%3A00,Charm Bar Restaurant restaurant,10
https://www.opentable.com/r/bk-lobster-clinton-hill-brooklyn?corrid=6a078fa0-8484-4c36-aea6-6011812091a3&avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ&p=1&sd=2021-07-20T22%3A30%3A00,BK Lobster - Clinton Hill restaurant,3
https://www.opentable.com/r/osteria-brooklyn?corrid=6a078fa0-8484-4c36-aea6-6011812091a3&avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ&p=1&sd=2021-07-20T22%3A30%3A00,Osteria Brooklyn restaurant,1
https://www.opentable.com/r/midici-neapolitan-pizza-brooklyn?corrid=6a078fa0-8484-4c36-aea6-6011812091a3&avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ&p=1&sd=2021-07-20T22%3A30%3A00,MidiCi Neapolitan Pizza - Brooklyn restaurant,1
https://www.opentable.com/r/end-zone-sports-bar-and-lounge-brooklyn?corrid=6a078fa0-8484-4c36-aea6-6011812091a3&avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ&p=1&sd=2021-07-20T22%3A30%3A00,End Zone Sports Bar & Lounge restaurant,0
https://www.opentable.com/r/sea-wolf-waterfront-brooklyn?corrid=6a078fa0-8484-4c36-aea6-6011812091a3&avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ&p=1&sd=2021-07-20T22%3A30%3A00,Sea Wolf Waterfront restaurant,30
https://www.opentable.com/r/brooklyn-high-low-brooklyn?corrid=6a078fa0-8484-4c36-aea6-6011812091a3&avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ&p=1&sd=2021-07-20T22%3A30%3A00,Brooklyn High Low restaurant,3
https://www.opentable.com/r/gold-room-brooklyn?corrid=6a078fa0-8484-4c36-aea6-6011812091a3&avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ&p=1&sd=2021-07-20T22%3A30%3A00,Gold Room restaurant,9
https://www.opentable.com/r/savelli-restaurant-and-bar-brooklyn?corrid=6a078fa0-8484-4c36-aea6-6011812091a3&avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ&p=1&sd=2021-07-20T22%3A30%3A00,Savelli Restaurant and Bar restaurant,7
